Frame,Vehicle_ID,Pos_X,Pos_Y,Pos_Z,BBox_X_Min,BBox_X_Max,BBox_Y_Min,BBox_Y_Max,BBox_Z_Min,BBox_Z_Max,MVec_X,MVec_Y,MVec_Z
0,146,-19.093874,6.0958128,0.2959167,1.8166879,0.9225569,0.7506413,0,0,-0.245,0,0,0
0,145,-17.6023922,2.59217,0.2959167,2.3958898,1.081725,0.74383,0,0,-0.245,0,0,0
0,144,24.7071228,-51.0345535,0.2959167,1.8166879,0.9225569,0.7506413,0,0,-0.245,0,0,0
0,143,28.2406216,-52.2405319,0.2959166,2.3958898,1.081725,0.74383,0,0,-0.245,0,0,0
0,142,31.5994377,55.9881821,0.2959167,1.8166879,0.9225569,0.7506413,0,0,-0.245,0,0,0
0,141,35.0993309,54.5895805,0.2959166,2.3958898,1.081725,0.74383,0,0,-0.245,0,0,0
1,146,-19.093874,6.0958128,0.2857083,1.8166879,0.9225569,0.7506413,0,0,-0.49,0,0,-0.0102084
1,145,-17.6023922,2.59217,0.2857083,2.3958898,1.081725,0.74383,0,0,-0.49,0,0,-0.0102084
1,144,24.7071228,-51.0345535,0.2857083,1.8166879,0.9225569,0.7506413,0,0,-0.49,0,0,-0.0102084
1,143,28.2406216,-52.2405319,0.2857083,2.3958898,1.081725,0.74383,0,0,-0.49,0,0,-0.0102083
1,142,31.5994377,55.9881821,0.2857083,1.8166879,0.9225569,0.7506413,0,0,-0.49,0,0,-0.0102084
1,141,35.0993309,54.5895805,0.2857083,2.3958898,1.081725,0.74383,0,0,-0.49,0,0,-0.0102083
2,146,-19.093874,6.0958128,0.269375,1.8166879,0.9225569,0.7506413,0,0,-0.735,0,0,-0.0163333
2,145,-17.6023922,2.59217,0.269375,2.3958898,1.081725,0.74383,0,0,-0.735,0,0,-0.0163333
2,144,24.7071228,-51.0345535,0.269375,1.8166879,0.9225569,0.7506413,0,0,-0.735,0,0,-0.0163333
2,143,28.2406216,-52.2405319,0.2693749,2.3958898,1.081725,0.74383,0,0,-0.735,0,0,-0.0163334
2,142,31.5994377,55.9881821,0.269375,1.8166879,0.9225569,0.7506413,0,0,-0.735,0,0,-0.0163333
2,141,35.0993309,54.5895805,0.2693749,2.3958898,1.081725,0.74383,0,0,-0.735,0,0,-0.0163334
3,146,-19.093874,6.0958128,0.2469166,1.8166879,0.9225569,0.7506413,0,0,-0.9799999,0,0,-0.0224584
3,145,-17.6023922,2.59217,0.2469166,2.3958898,1.081725,0.74383,0,0,-0.9799999,0,0,-0.0224584
3,144,24.7071228,-51.0345535,0.2469166,1.8166879,0.9225569,0.7506413,0,0,-0.9799999,0,0,-0.0224584
3,143,28.2406216,-52.2405319,0.2469166,2.3958898,1.081725,0.74383,0,0,-0.9799999,0,0,-0.0224583
3,142,31.5994377,55.9881821,0.2469166,1.8166879,0.9225569,0.7506413,0,0,-0.9799999,0,0,-0.0224584
